linea,estacion,afluencia_media,afluencia_std,proporcion_prepago,proporcion_gratuidad,proporcion_boleto,nivel_saturacion_medio
2,SAN ANTONIO ABAD,14613.255395683453,5815.272372124016,0.6946073357251511,0.1645449378244754,0.14084772645037352,1.2995889003083247
2,SAN COSME,15914.727646454265,5762.122253795699,0.70598434741554,0.15115574113831384,0.14285991144614618,1.2995889003083247
2,TACUBA,26493.801130524153,7418.773334258801,0.6293677950303008,0.1429432127547381,0.2276889922149611,1.2995889003083247
2,TASQUENA,50243.693730729705,15166.732472547012,0.7331595977587771,0.04775921195350796,0.21908119028771486,1.2995889003083247
2,VIADUCTO,12508.4753340185,4346.625644831455,0.7310300799474027,0.17417592287140887,0.09479399718118843,1.2990750256937307
2,VILLA DE CORTES,12456.547790339157,4494.004381163924,0.6712197512830633,0.13548940591105393,0.19329084280588266,1.2995889003083247
2,XOLA,15090.630010277493,5362.614446671898,0.7018968262488701,0.16292009331023738,0.13518308044089244,1.2995889003083247
2,ZOCALO/TENOCHTITLAN,34698.931140801644,18177.655898899713,0.6975768735348266,0.10702606603731993,0.19539706042785346,1.2995889003083247
3,BALDERAS,13091.735354573484,8998.072270860222,0.5654012488334954,0.18109211572300776,0.25350663544349683,1.2995889003083247
3,CENTRO MEDICO,13677.463001027749,4024.298929816517,0.7469757964954085,0.1544281457164974,0.0985960577880941,1.2995889003083247
3,COPILCO,26557.27183967112,13659.070901102143,0.7681636220871352,0.10113182709175302,0.13070455082111174,1.2995889003083247
3,COYOACAN,20501.863823227133,8280.040024582964,0.7592879607755102,0.11342729534563002,0.12728474387885977,1.2995889003083247
3,DEPORTIVO 18 DE MARZO,23518.06577595067,7476.455432367336,0.7029742652072529,0.13930686203365628,0.1577188727590907,1.2995889003083247
3,DIVISION DEL NORTE,11350.730215827338,4336.905090285067,0.7276034215331416,0.12679939021840508,0.14559718824845333,1.2995889003083247
3,ETIOPIA/PLAZA DE LA TRANSPARENCIA,19240.170606372045,6850.813288606793,0.7762724474340428,0.12618222320860195,0.09754532935735523,1.2995889003083247
3,EUGENIA,10688.8802672148,3854.9646029538158,0.7371392253840672,0.12535429916576904,0.1375064754501639,1.2995889003083247
3,GUERRERO,7319.414182939363,1627.7316751406906,0.5592085293247296,0.2790142163254938,0.1617772543497765,1.2995889003083247
3,HIDALGO,11731.282631038026,4018.98620544591,0.7050847061911997,0.17503531267149944,0.11987998113730082,1.2995889003083247
3,HOSPITAL GENERAL,14268.364337101748,6017.456683528471,0.674022262460123,0.16730080494702465,0.15867693259285243,1.2995889003083247
